Song ID,Canonical Title,Canonical Artist,MusicBrainz Work ID,Primary Recording ID,Preferred Primary Release,First Published Year,Genre Family,Default Mood Tags,Default Event Tags,Default Situation Tags,Notes
S27CAC610D7BB,Summer Jam (Video Edit) [feat. U-Jean],R.I.O.,,RFA0429E86F7D,Turn This Club Around (Limited Edition),2011.0,Dance,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S39D9F22F4E69,A Thousand Miles,Vanessa Carlton,,R76AB1EC9969E,Be Not Nobody,2002.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S43C3FE151CB2,Because You Move Me,"Tinlicker, Helsloot",,R52FAB4F3674A,Because You Move Me,2017.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S4EFF2A7F27DA,What Becomes of Us? (Nesting Dolls Edit),Cinephile,,RC8001438B328,Collected Works,2016.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S646346D8AEA0,In the Air Tonight (Panski & John Skyfield Remix) [Mixed],Phil Collins,,R7964B3AEBFF3,Face Value (Deluxe Editon),1981.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S66CAE3272D11,Two Bodies (feat. Emma Louise),Flight Facilities,,RD178C6E23DDE,Dark Side of the Moon,2014.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S7CC68992516E,California Love (feat. Dr. Dre & Roger Troutman) [Remix],2Pac,,R94253D500AC5,,,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SA57A55BCA0D6,Faster Car,Loving Caliber,,R1731223EF345,Chemicals (Instrumental Version),2017.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SACBC51F96979,Without You (feat. Kerry Leatham),Lapalux,,R2AC5379CE153,Nostalchic,2013.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SAF70F8EF9F3D,Fade Into You (Live),Mazzy Star,,R070B053810B6,So Tonight That I Might See,1993.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SB29C8C8F69AD,Marea (We've Lost Dancing),Fred again.. & The Blessed Madonna,,R3E45CED9EA79,Live at Glastonbury 2023: Other Stage,2020.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SB63C6D770D0C,Paradise Circus,"Massive Attack, Hope Sandoval",,R59F01C9CEF14,Heligoland,2010.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SD1BF7BDD38FA,Voices (feat. Hindi Zarha),Blundetto,,R2FBF40F92458,Bad Bad Things,2010.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SF07CF1ABB616,Clumsy feat. Michael Stipe,Stéphane Pompougnac,,R4CEC369080D7,,,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SF8C818E6A4E9,Two Bodies (feat. Emma Louise) [HNNY Remix] [Mixed],Flight Facilities,,RB1EC57282896,Down to Earth,2014.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SFBE18530CFC3,Bang Bang,Monophonics,,RAB4817693F77,In Your Brain,2012.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
